# t[s]	Prec [mm]
1335600	0.0000
1339200	0.0000
1342800	0.0000
1346400	0.0270
1350000	0.1051
1353600	0.0678
1357200	0.0001
1360800	0.0000
1364400	0.0000
1368000	0.0000
1371600	0.0000
1375200	0.0000
1378800	0.0000
1382400	0.0000
1386000	0.0000
1389600	0.0000
1393200	0.0000
1396800	0.0000
1400400	0.0000
1404000	0.0000
1407600	0.0000
1411200	0.0000
1414800	0.0000
1418400	0.0000
1422000	0.0000
1425600	0.0000
1429200	0.0000
1432800	0.0000
1436400	0.0000
1440000	0.0000
1443600	0.0000
1447200	0.0000
1450800	0.0000
1454400	0.0000
1458000	0.0000
1461600	0.0000
1465200	0.0000
1468800	0.0000
1472400	0.0000
1476000	0.0000
1479600	0.0000
1483200	0.0000
1486800	0.0000
1490400	0.0000
1494000	0.0000
1497600	0.0000
1501200	0.0000
1504800	0.0000
1508400	0.0000
1512000	0.0000
1515600	0.0000
1519200	0.0000
1522800	0.0000
1526400	0.0000
1530000	0.0000
1533600	0.0000
1537200	0.0000
1540800	0.0000
1544400	0.0000
1548000	0.0000
1551600	0.0000
1555200	0.0000
1558800	0.0000
1562400	0.0000
1566000	0.0000
1569600	0.0000
1573200	0.0000
1576800	0.0000
1580400	0.0000
1584000	0.0000
1587600	0.0000
1591200	0.0000
1594800	0.0000
1598400	0.0000
1602000	0.0000
1605600	0.0000
1609200	0.0000
1612800	0.0000
1616400	0.0000
1620000	0.0000
1623600	0.0000
1627200	0.0000
1630800	0.0000
1634400	0.0000
1638000	0.0000
1641600	0.2421
1645200	0.2252
1648800	0.3730
1652400	0.2350
1656000	0.0152
1659600	0.0040
1663200	0.0104
1666800	0.0916
1670400	0.0838
1674000	0.0354
1677600	0.0661
1681200	0.2473
1684800	0.0290
1688400	0.0093
1692000	0.0115
1695600	0.0075
1699200	0.0112
1702800	0.0019
1706400	0.0002
1710000	0.0001
1713600	0.0002
1717200	0.0000
1720800	0.0000
1724400	0.0000
1728000	0.0005
1731600	0.0005
1735200	0.0023
1738800	0.0094
1742400	0.0502
1746000	0.0567
1749600	0.0893
1753200	0.2092
1756800	0.3745
1760400	0.3393
1764000	0.2290
1767600	0.1660
1771200	0.0698
1774800	0.0331
1778400	0.0107
1782000	0.0184
1785600	0.0872
1789200	0.0063
1792800	0.0020
1796400	0.0045
1800000	0.0142
1803600	0.0138
1807200	0.0056
1810800	0.0074
1814400	0.0022
1818000	0.0022
1821600	0.0014
1825200	0.0013
1828800	0.0010
1832400	0.0007
1836000	0.0002
1839600	0.0004
1843200	0.0025
1846800	0.1020
1850400	0.0957
1854000	0.1723
1857600	0.0791
1861200	0.0330
1864800	0.0194
1868400	0.0250
1872000	0.1415
1875600	0.0235
1879200	0.0445
1882800	0.0362
1886400	0.0054
1890000	0.0012
1893600	0.0044
1897200	0.0049
1900800	0.0000
1904400	0.0000
1908000	0.0000
1911600	0.0000
1915200	0.0000
1918800	0.0000
1922400	0.0000
1926000	0.0000
1929600	0.0000
1933200	0.0000
1936800	0.0000
1940400	0.0000
1944000	0.0000
1947600	0.0000
1951200	0.0000
1954800	0.0000
1958400	0.0000
1962000	0.0000
1965600	0.0000
1969200	0.0000
1972800	0.0000
1976400	0.0000
1980000	0.0000
1983600	0.0000
1987200	0.0000
1990800	0.0000
1994400	0.0000
1998000	0.0000
2001600	0.0000
2005200	0.0000
2008800	0.0000
2012400	0.0000
2016000	0.0000
2019600	0.0000
2023200	0.0000
2026800	0.0000
2030400	0.0000
2034000	0.0000
2037600	0.0000
2041200	0.0000
2044800	0.0000
2048400	0.0000
2052000	0.0000
2055600	0.0000
2059200	0.0000
2062800	0.0000
2066400	0.0000
2070000	0.0000
2073600	0.0000
2077200	0.0000
2080800	0.0000
2084400	0.0000
2088000	0.0000
2091600	0.0000
2095200	0.0000
2098800	0.0000
2102400	0.0000
2106000	0.0000
2109600	0.0000
2113200	0.0000
2116800	0.0000
2120400	0.0000
2124000	0.0000
2127600	0.0000
2131200	0.0000
2134800	0.0000
2138400	0.0000
2142000	0.0000
2145600	0.0000
2149200	0.0000
2152800	0.0000
2156400	0.0000
2160000	0.0000
2163600	0.0000
2167200	0.0000
2170800	0.0000
2174400	0.0000
2178000	0.0000
2181600	0.0000
2185200	0.0000
2188800	0.0000
2192400	0.0000
2196000	0.0000
2199600	0.0000
2203200	0.0000
2206800	0.0000
2210400	0.0000
2214000	0.0000
2217600	0.0000
2221200	0.0000
2224800	0.0000
2228400	0.0000
2232000	0.0000
2235600	0.0000
2239200	0.0000
2242800	0.0000
2246400	0.0000
2250000	0.0000
2253600	0.0000
2257200	0.0000
2260800	0.0000
2264400	0.0000
2268000	0.2489
2271600	0.0363
2275200	0.0402
2278800	0.0000
2282400	0.0000
2286000	0.0000
2289600	0.0000
2293200	0.0000
2296800	0.0187
2300400	0.4058
2304000	2.1299
2307600	0.2720
2311200	0.0446
2314800	0.0036
2318400	0.0000
2322000	0.0000
2325600	0.0000
2329200	0.0000
2332800	0.0002
2336400	0.0011
2340000	0.0002
2343600	0.0018
2347200	0.0208
2350800	0.0491
2354400	0.0627
2358000	0.0430
2361600	0.0446
2365200	0.1089
2368800	0.1780
2372400	0.1436
2376000	0.1362
2379600	0.1792
2383200	0.2297
2386800	0.2266
2390400	0.1773
2394000	0.1017
2397600	0.1590
2401200	0.3708
2404800	0.3795
2408400	0.1591
2412000	0.0207
2415600	0.0062
2419200	0.0000
2422800	0.0000
2426400	0.0000
2430000	0.0000
2433600	0.0000
2437200	0.0000
2440800	0.0000
2444400	0.0000
2448000	0.0000
2451600	0.0000
2455200	0.0000
2458800	0.0000
2462400	0.0000
2466000	0.0000
2469600	0.0000
2473200	0.0000
2476800	0.0000
2480400	0.0000
2484000	0.0000
2487600	0.0000
2491200	0.0000
2494800	0.0000
2498400	0.0000
2502000	0.0000
2505600	0.0000
2509200	0.0000
2512800	0.0000
2516400	0.0000
2520000	0.0000
2523600	0.0000
2527200	0.0000
2530800	0.0000
2534400	0.0000
2538000	0.0000
2541600	0.0000
2545200	0.0000
2548800	0.0000
2552400	0.0000
2556000	0.0000
2559600	0.0000
2563200	0.0087
2566800	0.1383
2570400	0.0531
2574000	0.0000
2577600	0.0000
2581200	0.0000
2584800	0.0000
2588400	0.0000
2592000	0.0000
2595600	0.0000
2599200	0.0000
2602800	0.0000
2606400	0.0000
2610000	0.0000
2613600	0.0000
2617200	0.0000
2620800	0.0000
2624400	0.0000
2628000	0.0000
2631600	0.0000
2635200	0.0000
2638800	0.0000
2642400	0.0000
2646000	0.0000
2649600	0.0000
2653200	0.0000
2656800	0.0000
2660400	0.0000
2664000	0.0000
2667600	0.0000
2671200	0.0000
2674800	0.0000
2678400	0.0000
2682000	0.0000
2685600	0.0000
2689200	0.0000
2692800	0.0000
2696400	0.0000
2700000	0.0000
2703600	0.0000
2707200	0.0000
2710800	0.0000
2714400	0.0000
2718000	0.0000
2721600	0.0000
2725200	0.0000
2728800	0.0000
2732400	0.0000
2736000	0.0000
2739600	0.0000
2743200	0.0000
2746800	0.0000
2750400	0.0000
2754000	0.0000
2757600	0.0000
2761200	0.0000
2764800	0.0000
2768400	0.0000
2772000	0.0000
2775600	0.0000
2779200	0.0000
2782800	0.0000
2786400	0.0000
2790000	0.0000
2793600	0.0000
2797200	0.0000
2800800	0.0000
2804400	0.0000
2808000	0.0000
2811600	0.0000
2815200	0.0000
2818800	0.0000
2822400	0.0000
2826000	0.0000
2829600	0.0000
2833200	0.0000
2836800	0.0000
2840400	0.0000
2844000	0.0000
2847600	0.0000
2851200	0.0053
2854800	0.0061
2858400	0.0071
2862000	0.0080
2865600	0.0121
2869200	0.0199
2872800	0.0228
2876400	0.0262
2880000	0.0235
2883600	0.0195
2887200	0.0139
2890800	0.0096
2894400	0.0058
2898000	0.0022
2901600	0.0014
2905200	0.0012
2908800	0.0006
2912400	0.0000
2916000	0.0000
2919600	0.0023
2923200	0.0031
2926800	0.0031
2930400	0.0031
2934000	0.0031
2937600	0.0337
2941200	0.0326
2944800	0.0325
2948400	0.0347
2952000	0.0432
2955600	0.0556
2959200	0.0526
2962800	0.0829
2966400	0.1345
2970000	0.1878
2973600	0.2104
2977200	0.2686
2980800	0.2885
2984400	0.2704
2988000	0.2875
2991600	0.3183
2995200	0.3334
2998800	0.3218
3002400	0.2674
3006000	0.1626
3009600	0.1193
3013200	0.1037
3016800	0.0910
3020400	0.0668
3024000	0.0417
3027600	0.0347
3031200	0.0250
3034800	0.0168
3038400	0.0139
3042000	0.0179
3045600	0.0302
3049200	0.0243
3052800	0.0204
3056400	0.0259
3060000	0.0336
3063600	0.0365
3067200	0.0274
3070800	0.0385
3074400	0.0101
3078000	0.0030
3081600	0.0000
3085200	0.0000
3088800	0.0000
3092400	0.0000
3096000	0.0000
3099600	0.0000
3103200	0.0000
3106800	0.0000
3110400	0.0000
3114000	0.0000
3117600	0.0169
3121200	0.1076
3124800	0.0822
3128400	0.0866
3132000	0.0949
3135600	0.0566
3139200	0.2538
3142800	0.1653
3146400	0.2106
3150000	0.2040
3153600	0.2407
3157200	0.0910
3160800	0.0853
3164400	0.6036
3168000	0.2384
3171600	0.0252
3175200	0.0176
3178800	0.1637
3182400	0.0218
3186000	0.0077
3189600	0.0091
3193200	0.0172
3196800	0.0398
3200400	0.0600
3204000	0.0676
3207600	0.1164
3211200	0.1102
3214800	0.1351
3218400	0.1155
3222000	0.0537
3225600	0.1090
3229200	0.1179
3232800	0.1005
3236400	0.0529
3240000	0.0661
3243600	0.0685
3247200	0.0697
3250800	0.0599
3254400	0.0489
3258000	0.3232
3261600	0.0730
3265200	0.0098
3268800	0.0021
3272400	0.0001
3276000	0.0001
3279600	0.0000
3283200	0.0000
3286800	0.0000
3290400	0.0000
3294000	0.0000
3297600	0.0000
3301200	0.0000
3304800	0.0000
3308400	0.0000
3312000	0.0000
3315600	0.0000
3319200	0.0000
3322800	0.0000
3326400	0.0000
3330000	0.0000
3333600	0.0000
3337200	0.0000
3340800	0.0000
3344400	0.0000
3348000	0.0000
3351600	0.0000
3355200	0.0000
3358800	0.0000
3362400	0.0000
3366000	0.0000
3369600	0.0000
3373200	0.0000
3376800	0.0000
3380400	0.0000
3384000	0.0000
3387600	0.0000
3391200	0.0000
3394800	0.0000
3398400	0.0000
3402000	0.0000
3405600	0.0000
3409200	0.0000
3412800	0.0000
3416400	0.0000
3420000	0.0000
3423600	0.0000
3427200	0.0000
3430800	0.0000
3434400	0.0000
3438000	0.0000
3441600	0.0000
3445200	0.0000
3448800	0.0000
3452400	0.0000
3456000	0.0000
3459600	0.0000
3463200	0.0000
3466800	0.0000
3470400	0.0000
3474000	0.0000
3477600	0.0000
3481200	0.0000
3484800	0.0000
3488400	0.0000
3492000	0.0000
3495600	0.0000
3499200	0.0000
3502800	0.0000
3506400	0.0000
3510000	0.0000
3513600	0.0000
3517200	0.0000
3520800	0.0000
3524400	0.0000
3528000	0.0000
3531600	0.0000
3535200	0.0000
3538800	0.0000
3542400	0.0000
3546000	0.0000
3549600	0.0000
3553200	0.0000
3556800	0.0000
3560400	0.0000
3564000	0.0000
3567600	0.0000
3571200	0.0000
3574800	0.0000
3578400	0.0000
3582000	0.0000
3585600	0.0000
3589200	0.0000
3592800	0.0000
3596400	0.0000
3600000	0.0000
3603600	0.0000
3607200	0.0000
3610800	0.0000
3614400	0.0000
3618000	0.0000
3621600	0.0000
3625200	0.0000
3628800	0.0000
3632400	0.0000
3636000	0.0000
3639600	0.0000
3643200	0.0000
3646800	0.0000
3650400	0.0000
3654000	0.0000
3657600	0.0000
3661200	0.0000
3664800	0.0000
3668400	0.0000
3672000	0.0000
3675600	0.0000
3679200	0.0000
3682800	0.0000
3686400	0.0000
3690000	0.0000
3693600	0.0000
3697200	0.0000
3700800	0.0000
3704400	0.0000
3708000	0.0000
3711600	0.0000
3715200	0.0000
3718800	0.0000
3722400	0.0000
3726000	0.0000
3729600	0.0000
3733200	0.0000
3736800	0.0000
3740400	0.0000
3744000	0.0000
3747600	0.0000
3751200	0.0000
3754800	0.0000
3758400	0.0000
3762000	0.0000
3765600	0.0000
3769200	0.0000
3772800	0.0000
3776400	0.0000
3780000	0.0000
3783600	0.0000
3787200	0.0000
3790800	0.0000
3794400	0.0000
3798000	0.0000
3801600	0.0000
3805200	0.0000
3808800	0.0000
3812400	0.0000
3816000	0.0000
3819600	0.0000
3823200	0.0000
3826800	0.0000
3830400	0.0003
3834000	0.0012
3837600	0.0038
3841200	0.0040
3844800	0.0049
3848400	0.0052
3852000	0.0056
3855600	0.0814
3859200	0.0536
3862800	0.0075
3866400	0.0325
3870000	0.0000
3873600	0.0000
3877200	0.0000
3880800	0.0000
3884400	0.0000
3888000	0.0000
3891600	0.0000
3895200	0.0000
3898800	0.0000
3902400	0.0000
3906000	0.0000
3909600	0.0000
3913200	0.0000
3916800	0.0000
3920400	0.0811
3924000	0.1012
3927600	0.0882
3931200	0.1087
3934800	0.1126
3938400	0.1012
3942000	0.1841
3945600	0.2298
3949200	0.0468
3952800	0.1740
3956400	1.6320
3960000	1.3766
3963600	0.3634
3967200	0.0003
3970800	0.0000
3974400	0.0000
3978000	0.0000
3981600	0.0000
3985200	0.0000
3988800	0.0000
3992400	0.0000
3996000	0.0000
3999600	0.0041
4003200	0.0023
4006800	0.0383
4010400	0.0420
4014000	0.0330
4017600	0.0286
4021200	0.0155
4024800	0.0086
4028400	0.0149
4032000	0.0083
4035600	0.0025
4039200	0.0015
4042800	0.0004
4046400	0.0000
4050000	0.0000
4053600	0.0000
4057200	0.0000
4060800	0.0000
4064400	0.0000
4068000	0.0000
4071600	0.0000
4075200	0.0000
4078800	0.0000
4082400	0.0000
4086000	0.0001
4089600	0.0002
4093200	0.0043
4096800	0.0029
4100400	0.0069
4104000	0.0155
4107600	0.0212
4111200	0.0867
4114800	0.0343
4118400	0.1789
4122000	0.1093
4125600	0.2207
4129200	0.0337
4132800	0.0406
4136400	0.0414
4140000	0.0030
4143600	0.0003
4147200	0.0000
4150800	0.0000
4154400	0.0000
4158000	0.0000
4161600	0.0000
4165200	0.0000
4168800	0.0000
4172400	0.0000
4176000	0.0000
4179600	0.0000
4183200	0.0000
4186800	0.0000
4190400	0.0000
4194000	0.0000
4197600	0.0000
4201200	0.0000
4204800	0.0000
4208400	0.0000
4212000	0.0000
4215600	0.0000
4219200	0.0000
4222800	0.0000
4226400	0.0000
4230000	0.0000
4233600	0.0000
4237200	0.0000
4240800	0.0000
4244400	0.0000
4248000	0.0000
4251600	0.0000
4255200	0.0000
4258800	0.0000
4262400	0.0000
4266000	0.0000
4269600	0.0000
4273200	0.0000
4276800	0.0000
4280400	0.0000
4284000	0.0000
4287600	0.0000
4291200	0.0000
4294800	0.0000
4298400	0.0000
4302000	0.0000
4305600	0.0000
4309200	0.0000
4312800	0.0000
4316400	0.0000
4320000	0.0000
4323600	0.0000
4327200	0.0000
4330800	0.0000
4334400	0.0000
4338000	0.0000
4341600	0.0000
4345200	0.0000
4348800	0.0000
4352400	0.0000
4356000	0.0000
4359600	0.0000
4363200	0.0000
4366800	0.0000
4370400	0.0004
4374000	0.3793
4377600	1.1003
4381200	0.8191
4384800	0.2336
4388400	0.1644
4392000	0.0859
4395600	0.0707
4399200	0.0395
4402800	0.0069
4406400	0.0182
4410000	0.0090
4413600	0.0029
4417200	0.0012
4420800	0.0043
4424400	0.0029
4428000	0.0017
4431600	0.0277
4435200	0.0720
4438800	0.1788
4442400	0.2687
4446000	0.2901
4449600	0.2212
4453200	0.1340
4456800	0.0707
4460400	0.0435
4464000	0.0490
4467600	0.0028
4471200	0.0014
4474800	0.0000
4478400	0.0000
4482000	0.0000
4485600	0.0000
4489200	0.0000
4492800	0.0000
4496400	0.0000
4500000	0.0000
4503600	0.0000
4507200	0.0000
4510800	0.0155
4514400	0.1642
4518000	0.3738
4521600	1.2878
4525200	0.1560
4528800	0.2002
4532400	0.2401
4536000	0.1201
4539600	0.0364
4543200	0.0308
4546800	0.0364
4550400	0.0153
4554000	0.0116
4557600	0.0119
4561200	0.0000
4564800	0.0000
4568400	0.0000
4572000	0.0000
4575600	0.0000
4579200	0.0000
4582800	0.0000
4586400	0.0000
4590000	0.0000
4593600	0.0000
4597200	0.0000
4600800	0.0000
4604400	0.0000
4608000	0.0000
4611600	0.0000
4615200	0.0000
4618800	0.0000
4622400	0.0000
4626000	0.0000
4629600	0.0000
4633200	0.0000
4636800	0.0000
4640400	0.0000
4644000	0.0000
4647600	0.0000
4651200	0.0000
4654800	0.0000
4658400	0.0000
4662000	0.0000
4665600	0.0000
4669200	0.0000
4672800	0.0000
4676400	0.0000
4680000	0.0000
4683600	0.0000
4687200	0.0000
4690800	0.0000
4694400	0.0000
4698000	0.0000
4701600	0.0000
4705200	0.0000
4708800	0.0000
4712400	0.0000
4716000	0.0000
4719600	0.0000
4723200	0.0000
4726800	0.0000
4730400	0.0000
4734000	0.0000
4737600	0.0000
4741200	0.0000
4744800	0.0000
4748400	0.0000
4752000	0.0007
4755600	0.0019
4759200	0.0057
4762800	0.0052
4766400	0.0014
4770000	0.0009
4773600	0.0012
4777200	0.0021
4780800	0.0344
4784400	0.0764
4788000	0.0203
4791600	0.0250
4795200	0.0135
4798800	0.0027
4802400	0.0005
4806000	0.0000
4809600	0.0000
4813200	0.0001
4816800	0.0000
4820400	0.0000
4824000	0.0000
4827600	0.0000
4831200	0.0000
4834800	0.0080
4838400	0.0514
4842000	0.0927
4845600	0.1748
4849200	0.1252
4852800	0.0570
4856400	0.0218
4860000	0.0151
4863600	0.0265
4867200	0.0048
4870800	0.0021
4874400	0.0025
4878000	0.0095
4881600	0.0240
4885200	0.0198
4888800	0.0427
4892400	0.7273
4896000	0.3052
4899600	0.0841
4903200	0.0616
4906800	0.0588
4910400	0.0448
4914000	0.0233
4917600	0.0160
4921200	0.0089
4924800	0.0000
4928400	0.0000
4932000	0.0000
4935600	0.0000
4939200	0.0000
4942800	0.0000
4946400	0.0000
4950000	0.0000
4953600	0.0000
4957200	0.0000
4960800	0.0000
4964400	0.0000
4968000	0.0000
4971600	0.0000
4975200	0.0000
4978800	0.0000
4982400	0.0000
4986000	0.0000
4989600	0.0000
4993200	0.0000
4996800	0.0000
5000400	0.0000
5004000	0.0000
5007600	0.0000
5011200	0.0000
5014800	0.0000
5018400	0.0000
5022000	0.0000
5025600	0.0000
5029200	0.0000
5032800	0.0000
5036400	0.0049
5040000	0.0279
5043600	0.0246
5047200	0.0243
5050800	0.0339
5054400	0.0251
5058000	0.0539
5061600	0.0914
5065200	0.0868
5068800	0.1087
5072400	0.1589
5076000	0.2155
5079600	0.1821
5083200	0.1523
5086800	0.0770
5090400	0.0204
5094000	0.0121
5097600	0.0000
5101200	0.0000
5104800	0.0000
5108400	0.0000
5112000	0.0000
5115600	0.0000
5119200	0.0000
5122800	0.0000
5126400	0.0000
5130000	0.0000
5133600	0.0000
5137200	0.0000
5140800	0.0000
5144400	0.0000
5148000	0.0000
5151600	0.0000
5155200	0.0000
5158800	0.0000
5162400	0.0000
5166000	0.0000
5169600	0.0000
5173200	0.0000
5176800	0.0000
5180400	0.0000
5184000	0.0000
5187600	0.0000
5191200	0.0000
5194800	0.0000
5198400	0.0000
5202000	0.0000
5205600	0.0000
5209200	0.0000
5212800	0.0000
5216400	0.0000
5220000	0.0000
5223600	0.0000
5227200	0.0000
5230800	0.0000
5234400	0.0000
5238000	0.0000
5241600	0.0000
5245200	0.0000
5248800	0.0000
5252400	0.0000
5256000	0.0000
5259600	0.0000
5263200	0.0000
5266800	0.0000
5270400	0.0000
5274000	0.0000
5277600	0.0000
5281200	0.0000
5284800	0.0026
5288400	0.0774
5292000	0.1616
5295600	0.0808
5299200	0.0488
5302800	0.0097
5306400	0.0041
5310000	0.0017
5313600	0.0020
5317200	0.0093
5320800	0.0012
5324400	0.0009
5328000	0.0001
5331600	0.0000
5335200	0.0000
5338800	0.0000
5342400	0.0000
5346000	0.0000
5349600	0.0000
5353200	0.0000
5356800	0.0000
5360400	0.0000
5364000	0.0000
5367600	0.0000
5371200	0.0000
5374800	0.0000
5378400	0.0000
5382000	0.0000
5385600	0.0000
5389200	0.0000
5392800	0.0000
5396400	0.0000
5400000	0.0000
5403600	0.0000
5407200	0.0000
5410800	0.0000
5414400	0.0000
5418000	0.0000
5421600	0.0000
5425200	0.0000
5428800	0.0000
5432400	0.0000
5436000	0.0000
5439600	0.0000
5443200	0.0000
5446800	0.0000
5450400	0.0000
5454000	0.0000
5457600	0.0000
5461200	0.0000
5464800	0.0000
5468400	0.0000
5472000	0.0009
5475600	0.0719
5479200	0.1317
5482800	0.1109
5486400	0.0271
5490000	0.0222
5493600	0.0354
5497200	0.0027
5500800	0.2375
5504400	0.0927
5508000	0.1221
5511600	0.0934
5515200	0.0880
5518800	0.1376
5522400	0.2480
5526000	0.3779
5529600	0.0741
5533200	0.0893
5536800	0.1358
5540400	0.1954
5544000	0.2126
5547600	0.2289
5551200	0.1901
5554800	0.1011
5558400	0.0661
5562000	0.0438
5565600	0.0447
5569200	0.0134
5572800	0.0012
5576400	0.0015
5580000	0.0018
5583600	0.0001
5587200	0.0000
5590800	0.0000
5594400	0.0000
5598000	0.0000
5601600	0.0000
5605200	0.0000
5608800	0.0000
5612400	0.0000
5616000	0.0000
5619600	0.0000
5623200	0.0000
5626800	0.0000
5630400	0.0000
5634000	0.0000
5637600	0.0000
5641200	0.0000
5644800	0.0000
5648400	0.0000
5652000	0.0134
5655600	0.0127
5659200	0.0000
5662800	0.0007
5666400	0.0054
5670000	0.0073
5673600	0.0231
5677200	0.1951
5680800	0.3470
5684400	0.8629
5688000	0.2729
5691600	0.3272
5695200	0.5900
